name,marketPrice,imageUrl
Buddy-Buddy Poffin,0.19,https://tcgplayer-cdn.tcgplayer.com/product/542659_in_200x200.jpg
Code Card - SV05: Temporal Forces Booster Pack,0.03,https://tcgplayer-cdn.tcgplayer.com/product/543577_in_200x200.jpg
Pikachu,0.19,https://tcgplayer-cdn.tcgplayer.com/product/542795_in_200x200.jpg
Gengar ex - 104/162,3.71,https://tcgplayer-cdn.tcgplayer.com/product/542848_in_200x200.jpg
Dudunsparce,0.19,https://tcgplayer-cdn.tcgplayer.com/product/542873_in_200x200.jpg
Mist Energy,0.2,https://tcgplayer-cdn.tcgplayer.com/product/542681_in_200x200.jpg
Perilous Jungle,0.11,https://tcgplayer-cdn.tcgplayer.com/product/542673_in_200x200.jpg
Neo Upper Energy,13.68,https://tcgplayer-cdn.tcgplayer.com/product/542682_in_200x200.jpg
Feraligatr,0.2,https://tcgplayer-cdn.tcgplayer.com/product/542785_in_200x200.jpg
Raging Bolt ex - 123/162,3.77,https://tcgplayer-cdn.tcgplayer.com/product/542867_in_200x200.jpg
Scizor ex - 111/162,0.64,https://tcgplayer-cdn.tcgplayer.com/product/542855_in_200x200.jpg
Torterra ex - 012/162,0.57,https://tcgplayer-cdn.tcgplayer.com/product/542658_in_200x200.jpg
Walking Wake ex - 050/162,0.57,https://tcgplayer-cdn.tcgplayer.com/product/542794_in_200x200.jpg
Ancient Booster Energy Capsule,0.11,https://tcgplayer-cdn.tcgplayer.com/product/542651_in_200x200.jpg
Wugtrio ex - 060/162,0.72,https://tcgplayer-cdn.tcgplayer.com/product/542804_in_200x200.jpg
Gouging Fire ex - 038/162,0.62,https://tcgplayer-cdn.tcgplayer.com/product/542782_in_200x200.jpg
Iron Leaves ex - 025/162,0.8,https://tcgplayer-cdn.tcgplayer.com/product/542769_in_200x200.jpg
Scovillain ex,0.59,https://tcgplayer-cdn.tcgplayer.com/product/542766_in_200x200.jpg
Iron Crown ex - 081/162,0.61,https://tcgplayer-cdn.tcgplayer.com/product/542825_in_200x200.jpg
Master Ball,1.01,https://tcgplayer-cdn.tcgplayer.com/product/542668_in_200x200.jpg
Flutter Mane,0.13,https://tcgplayer-cdn.tcgplayer.com/product/542822_in_200x200.jpg
Relicanth - 084/162,0.14,https://tcgplayer-cdn.tcgplayer.com/product/542828_in_200x200.jpg
Prime Catcher,1.34,https://tcgplayer-cdn.tcgplayer.com/product/542674_in_200x200.jpg
Roaring Moon,0.12,https://tcgplayer-cdn.tcgplayer.com/product/542853_in_200x200.jpg
Croconaw,0.19,https://tcgplayer-cdn.tcgplayer.com/product/542784_in_200x200.jpg
Gastly - 177/162,59.25,https://tcgplayer-cdn.tcgplayer.com/product/542898_in_200x200.jpg
Reboot Pod,0.39,https://tcgplayer-cdn.tcgplayer.com/product/542675_in_200x200.jpg
Awakening Drum,0.43,https://tcgplayer-cdn.tcgplayer.com/product/542654_in_200x200.jpg
Gengar ex - 193/162,40.76,https://tcgplayer-cdn.tcgplayer.com/product/542914_in_200x200.jpg
Gastly - 102/162,0.08,https://tcgplayer-cdn.tcgplayer.com/product/542846_in_200x200.jpg
Rescue Board,0.08,https://tcgplayer-cdn.tcgplayer.com/product/542677_in_200x200.jpg
Cinccino - 183/162,12.99,https://tcgplayer-cdn.tcgplayer.com/product/542904_in_200x200.jpg
Drampa - 184/162,10.66,https://tcgplayer-cdn.tcgplayer.com/product/542905_in_200x200.jpg
Sharpedo,0.07,https://tcgplayer-cdn.tcgplayer.com/product/542787_in_200x200.jpg
Eri - 199/162,2.26,https://tcgplayer-cdn.tcgplayer.com/product/542920_in_200x200.jpg
Scyther,0.07,https://tcgplayer-cdn.tcgplayer.com/product/542646_in_200x200.jpg
Iron Thorns,0.12,https://tcgplayer-cdn.tcgplayer.com/product/542806_in_200x200.jpg
Raichu,0.11,https://tcgplayer-cdn.tcgplayer.com/product/542796_in_200x200.jpg
Litten - 167/162,18.76,https://tcgplayer-cdn.tcgplayer.com/product/542888_in_200x200.jpg
Sawsbuck - 166/162,27.14,https://tcgplayer-cdn.tcgplayer.com/product/542887_in_200x200.jpg
Minccino - 182/162,8.73,https://tcgplayer-cdn.tcgplayer.com/product/542903_in_200x200.jpg
Ciphermaniac's Codebreaking - 198/162,5.4,https://tcgplayer-cdn.tcgplayer.com/product/542919_in_200x200.jpg
Melmetal,0.07,https://tcgplayer-cdn.tcgplayer.com/product/542861_in_200x200.jpg
Snom - 045/162,0.07,https://tcgplayer-cdn.tcgplayer.com/product/542789_in_200x200.jpg
Meltan - 179/162,3.83,https://tcgplayer-cdn.tcgplayer.com/product/542900_in_200x200.jpg
Turtwig,0.08,https://tcgplayer-cdn.tcgplayer.com/product/542760_in_200x200.jpg
Shiftry - 163/162,6.55,https://tcgplayer-cdn.tcgplayer.com/product/542884_in_200x200.jpg
Rabsca,0.08,https://tcgplayer-cdn.tcgplayer.com/product/542768_in_200x200.jpg
Seedot,0.08,https://tcgplayer-cdn.tcgplayer.com/product/542648_in_200x200.jpg
Deerling - 165/162,21.67,https://tcgplayer-cdn.tcgplayer.com/product/542886_in_200x200.jpg
Mudsdale - 175/162,4.6,https://tcgplayer-cdn.tcgplayer.com/product/542896_in_200x200.jpg
Excadrill - 174/162,5.41,https://tcgplayer-cdn.tcgplayer.com/product/542895_in_200x200.jpg
Iron Crown ex - 191/162,1.79,https://tcgplayer-cdn.tcgplayer.com/product/542912_in_200x200.jpg
